"symbol","window_start","window_end","count","ema_6","ema_10","ema_12","ema_13","ema_20","ema_26","ema_50","current_price","current_high","current_low","current_open","total_volume","avg_volume","rsi","ha_open","ha_close","ha_high","ha_low","macd","macd_signal","plus_di","minus_di","plus_di_long","minus_di_long","aroon_osc","bull_power","bear_power","chaikin_vol","rsi_smoothed","signal","trade_type","time","diff"
"BABA","2025-11-02T15:47:00.000000000","2025-11-02T16:37:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","462740.0","231370.0","50.0","170.29125","170.2925","170.43","170.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098632476","1"
"AAPL","2025-11-02T15:23:00.000000000","2025-11-02T16:13:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","3214608.0","1607304.0","50.0","270.43375","270.4525","270.73","270.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098632476","1"
"META","2025-11-02T15:07:00.000000000","2025-11-02T15:57:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.31","647.95","649.07","844386.0","422193.0","50.0","648.65375","648.6675","649.31","647.95","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.31","647.95","0.0","0.0","0","hold","1762098632476","1"
"META","2025-11-02T15:24:00.000000000","2025-11-02T16:14:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","844386.0","422193.0","50.0","648.68625","648.6525","649.3","648.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098632476","1"
"TSLA","2025-11-02T15:42:00.000000000","2025-11-02T16:32:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","1326864.0","663432.0","50.0","456.60625","456.6325","456.88","456.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098632476","1"
"TSLA","2025-11-02T15:09:00.000000000","2025-11-02T15:59:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.52","456.88","456.49","456.64","1326864.0","663432.0","50.0","456.60625","456.6325","456.88","456.49","0.0","0.0","0.0","0.0","0.0","0.0","0.0","456.88","456.49","0.0","0.0","0","hold","1762098632476","1"
"BABA","2025-11-02T15:37:00.000000000","2025-11-02T16:27:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.41","170.43","170.16","170.17","462740.0","231370.0","50.0","170.29125","170.2925","170.43","170.16","0.0","0.0","0.0","0.0","0.0","0.0","0.0","170.43","170.16","0.0","0.0","0","hold","1762098632476","1"
"INTC","2025-11-02T15:42:00.000000000","2025-11-02T16:32:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","1906243.0","953121.5","50.0","40.004999999999995","40.004999999999995","40.03","39.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098632476","1"
"META","2025-11-02T15:25:00.000000000","2025-11-02T16:15:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","648.34","649.3","648.0","648.97","844386.0","422193.0","50.0","648.68625","648.6525","649.3","648.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","649.3","648.0","0.0","0.0","0","hold","1762098632476","1"
"AAPL","2025-11-02T15:05:00.000000000","2025-11-02T15:55:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.25","270.73","270.25","270.58","3214608.0","1607304.0","50.0","270.43375","270.4525","270.73","270.25","0.0","0.0","0.0","0.0","0.0","0.0","0.0","270.73","270.25","0.0","0.0","0","hold","1762098632476","1"
"INTC","2025-11-02T15:36:00.000000000","2025-11-02T16:26:00.000000000","2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","39.98","40.03","39.98","40.03","1906243.0","953121.5","50.0","40.004999999999995","40.004999999999995","40.03","39.98","0.0","0.0","0.0","0.0","0.0","0.0","0.0","40.03","39.98","0.0","0.0","0","hold","1762098632476","1"
