timestamp,symbol,price,volume,bid,ask,high,low,open,time,diff
1702011600000,AAPL,195.710007,53406400,193.669998,195.990005,195.990005,193.669998,194.199997,1702011600,2
1702270800000,AAPL,193.179993,60943700,191.419998,193.490005,193.490005,191.419998,193.110001,1702270800,0
1702357200000,AAPL,194.710007,52696900,191.720001,194.720001,194.720001,191.720001,193.080002,1702357200,2
1702443600000,AAPL,197.960007,70404200,194.850006,198.0,198.0,194.850006,195.089996,1702443600,3
1702530000000,AAPL,198.110001,66831600,196.160004,199.619995,199.619995,196.160004,198.020004,1702530000,0
1702616400000,AAPL,197.570007,128538400,197.0,198.399994,198.399994,197.0,197.529999,1702616400,0
1702875600000,AAPL,195.889999,55751900,194.389999,196.630005,196.630005,194.389999,196.089996,1702875600,0
1702962000000,AAPL,196.940002,40714100,195.889999,196.949997,196.949997,195.889999,196.160004,1702962000,1
1703048400000,AAPL,194.830002,52242800,194.830002,197.679993,197.679993,194.830002,196.899994,1703048400,-2
1703134800000,AAPL,194.679993,46482500,193.5,197.080002,197.080002,193.5,196.100006,1703134800,-1
1703221200000,AAPL,193.600006,37149600,192.970001,195.410004,195.410004,192.970001,195.179993,1703221200,-2
1703566800000,AAPL,193.050003,28919300,192.830002,193.889999,193.889999,192.830002,193.610001,1703566800,-1
1703653200000,AAPL,193.149994,48087700,191.089996,193.5,193.5,191.089996,192.490005,1703653200,1
1703739600000,AAPL,193.580002,34049900,193.169998,194.660004,194.660004,193.169998,194.139999,1703739600,-1
1703826000000,AAPL,192.529999,42672100,191.729996,194.399994,194.399994,191.729996,193.899994,1703826000,-1
1704171600000,AAPL,185.639999,82488700,183.889999,188.440002,188.440002,183.889999,187.149994,1704171600,-2
1704258000000,AAPL,184.25,58414500,183.429993,185.880005,185.880005,183.429993,184.220001,1704258000,0
1704344400000,AAPL,181.910004,71983600,180.880005,183.089996,183.089996,180.880005,182.149994,1704344400,0
1704430800000,AAPL,181.179993,62379700,180.169998,182.759995,182.759995,180.169998,181.990005,1704430800,-1
1704690000000,AAPL,185.559998,59144500,181.5,185.600006,185.600006,181.5,182.089996,1704690000,3
1704776400000,AAPL,185.139999,42841800,182.729996,185.149994,185.149994,182.729996,183.919998,1704776400,1
1704862800000,AAPL,186.190002,46792900,183.919998,186.399994,186.399994,183.919998,184.350006,1704862800,2
1704949200000,AAPL,185.589996,49128400,183.619995,187.050003,187.050003,183.619995,186.539993,1704949200,-1
1705035600000,AAPL,185.919998,40477800,185.190002,186.740005,186.740005,185.190002,186.059998,1705035600,0
1705381200000,AAPL,183.630005,65603000,180.929993,184.259995,184.259995,180.929993,182.160004,1705381200,1
1705467600000,AAPL,182.679993,47317400,180.300003,182.929993,182.929993,180.300003,181.270004,1705467600,1
1705554000000,AAPL,188.630005,78005800,185.830002,189.139999,189.139999,185.830002,186.089996,1705554000,3
1705640400000,AAPL,191.559998,68903000,188.820007,191.949997,191.949997,188.820007,189.330002,1705640400,2
1705899600000,AAPL,193.889999,60133900,192.259995,195.330002,195.330002,192.259995,192.300003,1705899600,2
1705986000000,AAPL,195.179993,42355600,193.830002,195.75,195.75,193.830002,195.020004,1705986000,0
1706072400000,AAPL,194.5,53631300,194.339996,196.380005,196.380005,194.339996,195.419998,1706072400,-1
1706158800000,AAPL,194.169998,54822100,193.110001,196.270004,196.270004,193.110001,195.220001,1706158800,-1
1706245200000,AAPL,192.419998,44594000,191.940002,194.759995,194.759995,191.940002,194.270004,1706245200,-2
1706504400000,AAPL,191.729996,47145600,189.580002,192.199997,192.199997,189.580002,192.009995,1706504400,0
1706590800000,AAPL,188.039993,55859400,187.470001,191.800003,191.800003,187.470001,190.940002,1706590800,-3
1706677200000,AAPL,184.399994,55467800,184.350006,187.100006,187.100006,184.350006,187.039993,1706677200,-3
1706763600000,AAPL,186.860001,64885400,183.820007,186.949997,186.949997,183.820007,183.990005,1706763600,3
1706850000000,AAPL,185.850006,102551700,179.25,187.330002,187.330002,179.25,179.860001,1706850000,6
1707109200000,AAPL,187.679993,69668800,185.839996,189.25,189.25,185.839996,188.149994,1707109200,0
1707195600000,AAPL,189.300003,43490800,186.770004,189.309998,189.309998,186.770004,186.860001,1707195600,2
1707282000000,AAPL,189.410004,53439000,188.610001,191.050003,191.050003,188.610001,190.639999,1707282000,-1
1707368400000,AAPL,188.320007,40962000,187.350006,189.539993,189.539993,187.350006,189.389999,1707368400,-1
1707454800000,AAPL,188.850006,45155200,188.0,189.990005,189.990005,188.0,188.649994,1707454800,0
1707714000000,AAPL,187.149994,41781900,186.789993,188.669998,188.669998,186.789993,188.419998,1707714000,-1
1707800400000,AAPL,185.039993,56529500,183.509995,186.210007,186.210007,183.509995,185.770004,1707800400,-1
1707886800000,AAPL,184.149994,54630500,182.440002,185.529999,185.529999,182.440002,185.320007,1707886800,-1
1707973200000,AAPL,183.860001,65434500,181.350006,184.490005,184.490005,181.350006,183.550003,1707973200,0
1708059600000,AAPL,182.309998,49752500,181.669998,184.850006,184.850006,181.669998,183.419998,1708059600,-1
1708405200000,AAPL,181.559998,53665600,180.0,182.429993,182.429993,180.0,181.789993,1708405200,0
1708491600000,AAPL,182.320007,41371400,180.660004,182.889999,182.889999,180.660004,181.940002,1708491600,0
1708578000000,AAPL,184.369995,52292200,182.460007,184.960007,184.960007,182.460007,183.479996,1708578000,1
1708664400000,AAPL,182.520004,45119700,182.229996,185.039993,185.039993,182.229996,185.009995,1708664400,-2
1708923600000,AAPL,181.160004,40867400,180.649994,182.759995,182.759995,180.649994,182.240005,1708923600,-1
1709010000000,AAPL,182.630005,54318900,179.559998,183.919998,183.919998,179.559998,181.100006,1709010000,2
