timestamp,symbol,current_price,cash_balance,position_size,entry_price,portfolio_value,pnl,total_trades,trade_log
1702011600000,TSLA,243.83999633789062,10000.0,0.0,0.0,10000.0,0.0,0,
1702270800000,TSLA,239.74000549316406,10000.0,0.0,0.0,10000.0,0.0,0,
1702357200000,TSLA,237.00999450683594,10000.0,0.0,0.0,10000.0,0.0,0,
1702443600000,TSLA,239.2899932861328,10000.0,0.0,0.0,10000.0,0.0,0,
1702530000000,TSLA,251.0500030517578,10000.0,0.0,0.0,10000.0,0.0,0,
1702616400000,TSLA,253.5,10000.0,0.0,0.0,10000.0,0.0,0,
1702011600000,TSLA,243.83999633789062,10000.0,0.0,0.0,10000.0,0.0,0,
1702270800000,TSLA,239.74000549316406,10000.0,0.0,0.0,10000.0,0.0,0,
1702357200000,TSLA,237.00999450683594,10000.0,0.0,0.0,10000.0,0.0,0,
1702443600000,TSLA,239.2899932861328,10000.0,0.0,0.0,10000.0,0.0,0,
1702530000000,TSLA,251.0500030517578,10000.0,0.0,0.0,10000.0,0.0,0,
1702616400000,TSLA,253.5,10000.0,0.0,0.0,10000.0,0.0,0,
1702875600000,TSLA,252.0800018310547,10000.0,0.0,0.0,10000.0,0.0,0,
1702962000000,TSLA,257.2200012207031,10000.0,0.0,0.0,10000.0,0.0,0,
1703048400000,TSLA,247.13999938964844,10000.0,0.0,0.0,10000.0,0.0,0,
1703134800000,TSLA,254.5,10000.0,0.0,0.0,10000.0,0.0,0,
1703221200000,TSLA,252.5399932861328,10000.0,0.0,0.0,10000.0,0.0,0,
