timestamp,symbol,current_price,cash_balance,position_size,entry_price,portfolio_value,pnl,total_trades,trade_log
1702011600000,BAC,30.959999084472656,10000.0,0.0,0.0,10000.0,0.0,0,
1702270800000,BAC,30.850000381469727,10000.0,0.0,0.0,10000.0,0.0,0,
1702357200000,BAC,30.739999771118164,10000.0,0.0,0.0,10000.0,0.0,0,
1702443600000,BAC,32.040000915527344,10000.0,0.0,0.0,10000.0,0.0,0,
1702530000000,BAC,33.939998626708984,10000.0,0.0,0.0,10000.0,0.0,0,
1702616400000,BAC,33.599998474121094,10000.0,0.0,0.0,10000.0,0.0,0,
1702011600000,BAC,30.959999084472656,10000.0,0.0,0.0,10000.0,0.0,0,
1702270800000,BAC,30.850000381469727,10000.0,0.0,0.0,10000.0,0.0,0,
1702357200000,BAC,30.739999771118164,10000.0,0.0,0.0,10000.0,0.0,0,
1702443600000,BAC,32.040000915527344,10000.0,0.0,0.0,10000.0,0.0,0,
1702530000000,BAC,33.939998626708984,10000.0,0.0,0.0,10000.0,0.0,0,
1702616400000,BAC,33.599998474121094,10000.0,0.0,0.0,10000.0,0.0,0,
1702875600000,BAC,33.43000030517578,10000.0,0.0,0.0,10000.0,0.0,0,
1702962000000,BAC,33.5099983215332,10000.0,0.0,0.0,10000.0,0.0,0,
1703048400000,BAC,32.97999954223633,10000.0,0.0,0.0,10000.0,0.0,0,
1703134800000,BAC,33.20000076293945,10000.0,0.0,0.0,10000.0,0.0,0,
1703221200000,BAC,33.43000030517578,10000.0,0.0,0.0,10000.0,0.0,0,
